trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.1, 'e': 0.972805}",20,0,-69.0575767320006,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
148,False,"{'a': 0.1, 'e': 0.972435}",25,0,-204.70658615481722,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
149,False,"{'a': 0.1, 'e': 0.9720625}",20,0,-41.457803825300644,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.1, 'e': 0.9716875}",25,0,-194.50870744898492,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",0
151,False,"{'a': 0.1, 'e': 0.97131}",25,0,-58.36857965483987,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
152,False,"{'a': 0.1, 'e': 0.97093}",20,0,-160.56618440285095,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
153,False,"{'a': 0.1, 'e': 0.9705475}",25,0,-77.03164448998254,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
154,False,"{'a': 0.1, 'e': 0.9701625}",30,0,-87.46265747980553,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.1, 'e': 0.969775}",30,0,-102.18520560223705,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
156,False,"{'a': 0.1, 'e': 0.969385}",20,0,-45.16732048117395,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
157,False,"{'a': 0.1, 'e': 0.9689925}",20,0,-97.70405517038499,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
158,False,"{'a': 0.1, 'e': 0.9685975}",25,0,-138.4062884194482,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
159,False,"{'a': 0.1, 'e': 0.9682}",20,0,-165.1347357799366,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
160,False,"{'a': 0.1, 'e': 0.9678}",30,0,-166.32172691627807,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
161,False,"{'a': 0.1, 'e': 0.9673975}",25,0,-150.1052836851612,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
162,False,"{'a': 0.1, 'e': 0.9669925}",20,0,-177.81333360046182,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
163,False,"{'a': 0.1, 'e': 0.966585}",20,0,-69.81706238478709,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
164,False,"{'a': 0.1, 'e': 0.966175}",20,0,-122.03795666502424,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
165,False,"{'a': 0.1, 'e': 0.9657625}",30,0,-125.43474489194313,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
166,False,"{'a': 0.1, 'e': 0.9653474999999999}",25,0,-118.53772264313905,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
167,False,"{'a': 0.1, 'e': 0.96493}",20,0,-124.00303791149209,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
168,False,"{'a': 0.1, 'e': 0.96451}",20,0,-95.70775973779142,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
169,False,"{'a': 0.1, 'e': 0.9640875}",25,0,-121.55431676002598,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
170,False,"{'a': 0.1, 'e': 0.9636625}",30,0,-236.7653301442752,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
171,False,"{'a': 0.1, 'e': 0.963235}",25,0,-321.1238639505517,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 6}",0
172,False,"{'a': 0.1, 'e': 0.9628049999999999}",20,0,-84.84095044773784,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
173,False,"{'a': 0.1, 'e': 0.9623725}",25,0,-175.60879161154799,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
174,False,"{'a': 0.1, 'e': 0.9619375}",20,2,-68.02033101782632,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
175,False,"{'a': 0.1, 'e': 0.9615}",30,0,-134.62883732149433,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
176,False,"{'a': 0.1, 'e': 0.96106}",25,0,-170.14640029990662,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
177,False,"{'a': 0.1, 'e': 0.9606175}",35,0,-61.70626059056851,"{0: 24, 1: 4, 2: 7, 3: 0, 4: 0}",0
178,False,"{'a': 0.1, 'e': 0.9601725}",30,4,-198.41321963761217,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 4}",1
179,False,"{'a': 0.1, 'e': 0.9597249999999999}",25,0,-120.40438434623263,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
180,False,"{'a': 0.1, 'e': 0.959275}",25,4,-126.31273503893286,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 2}",1
181,False,"{'a': 0.1, 'e': 0.9588225}",25,0,-163.22430453425423,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
182,False,"{'a': 0.1, 'e': 0.9583675}",20,0,-38.62695381417234,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
183,False,"{'a': 0.1, 'e': 0.95791}",20,0,-83.78592818818278,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
184,False,"{'a': 0.1, 'e': 0.95745}",25,0,-235.5453190406364,"{0: 9, 1: 3, 2: 9, 3: 1, 4: 3}",0
185,False,"{'a': 0.1, 'e': 0.9569875}",25,0,-125.37490152185818,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
186,False,"{'a': 0.1, 'e': 0.9565224999999999}",30,0,-318.06632926145636,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 5}",0
187,False,"{'a': 0.1, 'e': 0.956055}",25,14,-4.9533911303420215,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.1, 'e': 0.955585}",20,0,-82.12637657527901,"{0: 8, 1: 7, 2: 4, 3: 1, 4: 0}",0
